level,error,error-redundancy 1 is good 0 is worst,chosen-game
2.5,ذز,0.8,إكمال الفراغ
2.4,ثس,0.75,ترتيب الحروف
2.1,سص,0.75,ترتيب الحروف
2.4,رز,0.6,ترتيب الحروف
2.5,قج,0.7,ترتيب الحروف
2.3,هح,0.5,إكمال الفراغ
2.56,عغ,0.9,إكمال الفراغ
2.1,دذ,0.8,إكمال الفراغ
2.4,مد الضم,0.7,إكمال الفراغ
2.9,مد الفتح,0.6,إكمال الفراغ
2.7,مد الكسر,0.8,إكمال الفراغ
2.85,هة,0.9,إكمال الفراغ
2.5,هة,0.5,ترتيب الحروف
3.5,تنوين,0.8,تحرير كلمة
2.5,كتابة الهمزة,0.9,إكمال الفراغ
2.9,سص,0.8,إكمال الفراغ
2.4,مد الفتح,0.5,ترتيب الحروف
2.1,مد الضم,0.7,إكمال الفراغ
2.3,ظض,0.4,إكمال الفراغ
2.3,ظض,0.9,ترتيب الحروف
2.4,ظط,0.6,إكمال الفراغ
3.1,سص,0.7,إكمال الفراغ
3.1,ثس,0.8,إكمال الفراغ
3.5,دذ,0.5,إكمال الفراغ
3.4,رز,0.4,إكمال الفراغ
3.6,سش,0.3,إكمال الفراغ
3.8,كتابة الهمزة,0.9,تحرير كلمة
3.7,هة,0.8,تحرير كلمة
3,الهمزة المتوسطة,0.9,تحرير كلمة
4,الهمزة المتوسطة,0.8,ترتيب الحروف
4.5,الهمزة المتوسطة,0.4,إكمال الفراغ
4.7,الهمزة المتوسطة,0.2,إكمال الفراغ
3.4,الهمزة المتطرفة,0.7,ترتيب الحروف
4.6,همزة القطع,0.8,تحرير كلمة
3.2,همزة القطع,0.7,ترتيب كلمة
4.2,همزة القطع,0.4,إكمال الفراغ
4.6,هة,0.3,إكمال الفراغ
4.8,الهمزة المتوسطة,0.9,تحرير جملة
4.9,هة,0.8,تحرير جملة
4.5,هة,0.1,إكمال الفراغ
4.3,سص,0.8,إكمال الفراغ
4.5,تنوين,0.9,تحرير كلمة
4.2,تنوين,0.5,إكمال الفراغ
4.8,ألف مقصورة-ممددوة,0.9,إكمال الفراغ
3.6,ألف مقصورة-ياء,0.6,تحرير كلمة
3.9,تنوين,0.9,تحرير جملة
4.5,هة,0.7,تحرير جملة
4.3,وصل الواو,0.8,كتابة عدد
4.6,وصل الواو,0.4,كتابة عدد
4.7,وصل ال,0.7,تحرير جملة
4.9,وصل ال,0.3,كتابة عدد
5.1,وصل ال,0.9,كتابة الساعة
5,الهمزة المتوسطة,0.6,مركب معجمي
5.3,هة,0.4,تحرير كلمة
5.4,تنوين,0.7,مركب معجمي
5.7,سص,0.8,مركب معجمي
5.1,همزة القطع,0.7,مركب معجمي
5.6,همزة القطع,0.6,مركب معجمي
5.9,الهمزة المتطرفة,0.8,مركب معجمي
5.1,الهمزة المتوسطة,0.6,مركب معجمي
5.8,هة,0.8,مركب معجمي
5.9,هة,0.9,تحرير نص
6.7,ألف مقصورة-ممددوة,0.9,مركب معجمي
6.1,ألف مقصورة-ياء,0.8,مركب معجمي
5,مد تاء المخاطبة,0.95,إكمال الفراغ
6.5,مد تاء المخاطبة,0.9,تحرير كلمة
4,مد تاء المخاطبة,0.5,إكمال الفراغ
6,مد تاء المخاطبة,,تحرير كلمة
7,هة,0.9,تحرير نص
5.7,هة,0.8,مركب معجمي
4.6,هة,0.7,مركب معجمي
6.1,هة,0.85,مركب معجمي
4.3,وصل الواو,0.8,تحرير نص
4.6,وصل الواو,0.4,كتابة عدد
6,هة,0.6,تحرير نص
6,دذ,0.85,تحرير كلمة
6,ظض,0.8,تحرير كلمة
6,ذز,0.9,تحرير كلمة
4,ذز,0.7,تحرير كلمة
2,تث,0.85,تحرير كلمة
6,همزة القطع,0.6,إكمال الفراغ
7,همزة القطع,0.9,تحرير نص
7,همزة القطع,0.8,تحرير كلمة
7,الهمزة المتطرفة,0.75,إكمال الفراغ
7,الهمزة المتوسطة,0.4,إكمال الفراغ
7,هة,0.8,تحرير نص
7,جق,0.9,سؤال ثقافي
7.5,وصل الواو,0.8,كتابة عدد
7.4,وصل الواو,0.5,كتابة عدد
7.4,وصل الواو,0.4,تحرير نص
7.4,وصل الواو,0.9,تحرير نص
6,ألف مقصورة-ممددوة,0.6,تحرير نص
5,ألف مقصورة-ممددوة,0.9,مركب معجمي
5,ألف مقصورة-ياء,0.7,مركب معجمي
7,ألف مقصورة-ممددوة,0.9,تحرير نص
7,ألف مقصورة-ياء,0.7,تحرير نص
2,ذز,0.9,سؤال ثقافي
2.3,تة,0.8,سؤال مشوش
2.4,تة,0.7,سؤال مشوش
2.6,تة,0.9,سؤال مشوش
3.5,تة,0.3,سؤال مشوش
5,تة,0.7,سؤال مشوش
4.5,تة,,سؤال مشوش